Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,PRICE_DATE,PRICE_TYPE,BASE_CURRENCY,PRICE_CURRENCY,FX_RATE
,,,,,,,,,2023-12-12 00:00:00.000,Fixing 16h,EUR,CHF,0.9448
,,,,,,,,,2023-12-11 00:00:00.000,Fixing 16h,EUR,CHF,0.9448
,,,,,,,,,2023-12-08 00:00:00.000,Fixing 16h,EUR,CHF,0.94725
,,,,,,,,,2023-12-07 00:00:00.000,Fixing 16h,EUR,CHF,0.9453
,,,,,,,,,2023-12-06 00:00:00.000,Fixing 16h,EUR,CHF,0.94275
,,,,,,,,,2023-12-05 00:00:00.000,Fixing 16h,EUR,CHF,0.94465
,,,,,,,,,2023-12-04 00:00:00.000,Fixing 16h,EUR,CHF,0.9452
,,,,,,,,,2023-12-01 00:00:00.000,Fixing 16h,EUR,CHF,0.94525
,,,,,,,,,2023-11-30 00:00:00.000,Fixing 16h,EUR,CHF,0.94875
,,,,,,,,,2023-11-29 00:00:00.000,Fixing 16h,EUR,CHF,0.96025
,,,,,,,,,2023-11-28 00:00:00.000,Fixing 16h,EUR,CHF,0.96455
,,,,,,,,,2023-11-27 00:00:00.000,Fixing 16h,EUR,CHF,0.9632
,,,,,,,,,2023-11-24 00:00:00.000,Fixing 16h,EUR,CHF,0.96475
,,,,,,,,,2023-11-23 00:00:00.000,Fixing 16h,EUR,CHF,0.96405
,,,,,,,,,2023-11-22 00:00:00.000,Fixing 16h,EUR,CHF,0.9625
,,,,,,,,,2023-11-21 00:00:00.000,Fixing 16h,EUR,CHF,0.965
,,,,,,,,,2023-11-20 00:00:00.000,Fixing 16h,EUR,CHF,0.9673
,,,,,,,,,2023-11-17 00:00:00.000,Fixing 16h,EUR,CHF,0.96515
,,,,,,,,,2023-11-16 00:00:00.000,Fixing 16h,EUR,CHF,0.9653
,,,,,,,,,2023-11-15 00:00:00.000,Fixing 16h,EUR,CHF,0.96295
,,,,,,,,,2023-11-14 00:00:00.000,Fixing 16h,EUR,CHF,0.9669
,,,,,,,,,2023-11-13 00:00:00.000,Fixing 16h,EUR,CHF,0.9648
,,,,,,,,,2023-11-10 00:00:00.000,Fixing 16h,EUR,CHF,0.9636
,,,,,,,,,2023-11-09 00:00:00.000,Fixing 16h,EUR,CHF,0.9637
,,,,,,,,,2023-11-08 00:00:00.000,Fixing 16h,EUR,CHF,0.96195
,,,,,,,,,2023-11-07 00:00:00.000,Fixing 16h,EUR,CHF,0.96205
,,,,,,,,,2023-11-06 00:00:00.000,Fixing 16h,EUR,CHF,0.9639
,,,,,,,,,2023-11-03 00:00:00.000,Fixing 16h,EUR,CHF,0.9642
,,,,,,,,,2023-11-02 00:00:00.000,Fixing 16h,EUR,CHF,0.9623
,,,,,,,,,2023-11-01 00:00:00.000,Fixing 16h,EUR,CHF,0.9593
,,,,,,,,,2023-10-31 00:00:00.000,Fixing 16h,EUR,CHF,0.96195
,,,,,,,,,2023-10-30 00:00:00.000,Fixing 16h,EUR,CHF,0.9577
,,,,,,,,,2023-10-27 00:00:00.000,Fixing 16h,EUR,CHF,0.95505
,,,,,,,,,2023-10-26 00:00:00.000,Fixing 16h,EUR,CHF,0.9473
,,,,,,,,,2023-10-25 00:00:00.000,Fixing 16h,EUR,CHF,0.94755
